COMM_NAME,COMM_CODE,COMM_WT,Date,WPI,WPI_Lag_1,WPI_Lag_3,WPI_MA_3
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2012-04-01,106.1,,,
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2012-05-01,107.9,106.1,,
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2012-06-01,108.2,107.9,,107.39999999999999
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2012-07-01,107.2,108.2,106.1,107.76666666666667
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2012-08-01,107.9,107.2,107.9,107.76666666666667
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2012-09-01,107.0,107.9,108.2,107.36666666666667
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2012-10-01,107.5,107.0,107.2,107.46666666666665
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2012-11-01,108.8,107.5,107.9,107.76666666666667
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2012-12-01,109.2,108.8,107.0,108.5
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-01-01,109.8,109.2,107.5,109.26666666666667
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-02-01,110.0,109.8,108.8,109.66666666666667
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-03-01,111.4,110.0,109.2,110.39999999999999
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-04-01,112.7,111.4,109.8,111.36666666666667
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-05-01,108.6,112.7,110.0,110.89999999999999
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-06-01,114.1,108.6,111.4,111.8
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-07-01,114.2,114.1,112.7,112.3
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-08-01,114.6,114.2,108.6,114.3
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-09-01,113.9,114.6,114.1,114.23333333333333
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-10-01,114.1,113.9,114.2,114.2
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-11-01,115.0,114.1,114.6,114.33333333333333
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2013-12-01,117.3,115.0,113.9,115.46666666666665
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2014-01-01,114.0,117.3,114.1,115.43333333333332
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2014-02-01,116.3,114.0,115.0,115.86666666666666
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2014-03-01,118.4,116.3,117.3,116.23333333333333
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2014-04-01,117.3,118.4,114.0,117.33333333333333
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2014-05-01,116.0,117.3,116.3,117.23333333333333
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2014-06-01,118.4,116.0,118.4,117.23333333333335
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2014-07-01,119.6,118.4,117.3,118.0
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2014-08-01,125.0,119.6,116.0,121.0
(C). MANUFACTURE OF TOBACCO PRODUCTS,1303000000,0.51357,2014-09-01,123.4,125.0,118.4,122.66666666666667
